community_id,n_deals,herfindahl,top_sector_1,top_sector_2,top_sector_3,pct_Renewable_Energy,pct_Battery_Storage,pct_Mobility_EV,pct_Carbon_Capture,pct_Sustainable_Agri,pct_Hydrogen,pct_Circular_Economy,pct_Energy_Efficiency,pct_Water,pct_Other
7.0,4040,0.6106779972551711,Other,Sustainable Agri,Mobility & EV,0.0,0.0,9.207920792079207,0.0,12.896039603960396,0.0,1.3861386138613863,0.0,0.0,76.50990099009901
1.0,3693,0.4387901262104835,Other,Sustainable Agri,Mobility & EV,0.0,0.0,6.769564040075819,0.0,34.90387219063093,0.0,2.4911995667479014,0.0,0.0,55.83536420254536
4.0,3358,0.583186800050088,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.236450268016677,0.0,16.79571173317451,0.0,1.846337105419893,0.0,0.0,74.12150089338893
3.0,2800,0.5368579081632653,Other,Sustainable Agri,Mobility & EV,0.0,0.0,9.964285714285715,0.0,18.21428571428571,0.0,1.5714285714285716,0.0,0.0,70.25
6.0,2729,0.5830218728822424,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.695126419934042,0.0,15.170392085012827,0.0,2.7482594356907293,0.0,0.0,74.38622205936241
2.0,2377,0.5864798839106151,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.320151451409338,0.0,15.523769457299116,0.0,2.566259991586033,0.0,0.0,74.58981909970551
5.0,2017,0.5604938587204595,Other,Sustainable Agri,Mobility & EV,0.0,0.0,8.180466038671295,0.0,17.798710956866636,0.0,1.7848289538919186,0.0,0.0,72.23599405057016
0.0,1678,0.6892343032811921,Other,Sustainable Agri,Mobility & EV,0.0,0.0,4.231227651966627,0.0,12.99165673420739,0.0,0.8939213349225268,0.0,0.0,81.88319427890346
19.0,1423,0.570501484249571,Other,Mobility & EV,Sustainable Agri,0.0,0.0,21.784961349262122,0.0,5.621925509486999,0.0,0.4919184820801124,0.0,0.0,72.10119465917076
14.0,1066,0.4892727279127316,Other,Sustainable Agri,Mobility & EV,0.0,0.0,14.165103189493433,0.0,17.72983114446529,0.0,1.9699812382739212,0.0,0.0,66.13508442776735
11.0,1025,0.5179459845330161,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.2195121951219505,0.0,22.926829268292686,0.0,2.048780487804878,0.0,0.0,67.8048780487805
8.0,960,0.5756445312499999,Other,Sustainable Agri,Mobility & EV,0.0,0.0,6.458333333333334,0.0,16.770833333333332,0.0,3.125,0.0,0.0,73.64583333333333
10.0,953,0.44260407020850934,Other,Mobility & EV,Sustainable Agri,0.0,0.0,17.83840503672613,0.0,16.998950682056662,0.0,3.4627492130115427,0.0,0.0,61.69989506820567
15.0,652,0.5496066844819151,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.975460122699387,0.0,17.791411042944784,0.0,2.7607361963190185,0.0,0.0,71.47239263803681
16.0,606,0.5230369571610626,Other,Sustainable Agri,Mobility & EV,0.0,0.0,11.55115511551155,0.0,16.996699669966997,0.0,2.145214521452145,0.0,0.0,69.3069306930693
13.0,597,0.601424206459433,Other,Mobility & EV,Sustainable Agri,0.0,0.0,13.06532663316583,0.0,9.045226130653267,0.0,2.0100502512562812,0.0,0.0,75.87939698492463
18.0,585,0.4920710059171596,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.6923076923076925,0.0,21.53846153846154,0.0,4.615384615384616,0.0,0.0,66.15384615384615
12.0,544,0.4340600670415225,Other,Sustainable Agri,Mobility & EV,0.0,0.0,6.8014705882352935,0.0,39.338235294117645,0.0,1.4705882352941175,0.0,0.0,52.38970588235294
9.0,403,0.5303585392435148,Other,Mobility & EV,Sustainable Agri,0.0,0.0,16.377171215880892,0.0,13.151364764267989,0.0,0.7444168734491315,0.0,0.0,69.72704714640199
24.0,381,0.5053630107260216,Other,Mobility & EV,Sustainable Agri,0.0,0.0,16.010498687664043,0.0,14.435695538057743,0.0,1.837270341207349,0.0,0.0,67.71653543307087
23.0,310,0.49608740894901127,Other,Sustainable Agri,Mobility & EV,0.0,0.0,13.548387096774196,0.0,17.741935483870968,0.0,1.935483870967742,0.0,0.0,66.77419354838709
17.0,302,0.5780667514582694,Other,Sustainable Agri,Mobility & EV,0.0,0.0,8.27814569536424,0.0,17.549668874172188,0.0,0.6622516556291391,0.0,0.0,73.50993377483444
21.0,289,0.5227787023622801,Other,Sustainable Agri,Mobility & EV,0.0,0.0,9.342560553633218,0.0,21.10726643598616,0.0,1.0380622837370241,0.0,0.0,68.5121107266436
26.0,182,0.6104939017026928,Other,Mobility & EV,Sustainable Agri,0.0,0.0,13.186813186813188,0.0,9.89010989010989,0.0,0.5494505494505495,0.0,0.0,76.37362637362637
25.0,150,0.6296,Other,Sustainable Agri,Mobility & EV,0.0,0.0,6.666666666666667,0.0,12.666666666666668,0.0,2.666666666666667,0.0,0.0,78.0
27.0,61,0.45821015855952707,Other,Sustainable Agri,Mobility & EV,0.0,0.0,13.114754098360656,0.0,22.950819672131146,0.0,1.639344262295082,0.0,0.0,62.295081967213115
20.0,52,0.5473372781065089,Other,Sustainable Agri,Renewable Energy,0.0,0.0,0.0,0.0,34.61538461538461,0.0,0.0,0.0,0.0,65.38461538461539
30.0,38,0.4792243767313019,Other,Sustainable Agri,Circular Economy,0.0,0.0,0.0,0.0,26.31578947368421,0.0,10.526315789473683,0.0,0.0,63.1578947368421
29.0,37,0.6055514974433893,Other,Sustainable Agri,Mobility & EV,0.0,0.0,8.108108108108109,0.0,16.216216216216218,0.0,0.0,0.0,0.0,75.67567567567568
35.0,8,0.59375,Other,Sustainable Agri,Circular Economy,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,75.0
