community_id,num_investors,num_co_deals,pct_GVC,pct_CVC,pct_IVC,pct_Impact_VC,pct_Bank_VC,pct_Angel_Network,pct_Other,pct_GREEN_VC,pct_ESG_ALIGNED,pct_TRADITIONAL,avg_degree,avg_betweenness,avg_eigenvector,avg_novelty,herfindahl,exit_rate,failure_rate,cluster,cluster_label
7,1836,1525,31.154684095860567,2.9956427015250546,29.68409586056645,2.6143790849673203,0.3812636165577342,0.5991285403050108,31.5359477124183,52.94117647058824,2.287581699346405,44.771241830065364,28.71677559912854,0.0003409428596607573,0.005776860518586736,0.426562751495378,0.6106779972551711,7.6450892857142865,5.301339285714286,1,Exit-Oriented
3,1637,905,28.466707391569944,1.0995723885155773,32.68173488087966,1.832620647525962,0.2443494196701283,1.1606597434331094,33.292608430054976,51.496640195479536,2.810018326206475,45.69334147831399,24.30421502748931,0.00022069386839814983,0.0036954973501358342,0.4243428661616162,0.5368579081632653,5.689993459777633,6.540222367560497,1,Exit-Oriented
4,1617,1007,49.35064935064935,1.051329622758194,20.531849103277676,1.5460729746444033,0.4329004329004329,1.2987012987012987,24.922696351267778,65.36796536796537,1.7934446505875077,32.83858998144712,12.437847866419295,0.00012388511990746285,0.0005367185847153792,0.42338552089464393,0.583186800050088,6.513647642679901,7.94044665012407,0,Mixed Bridge
19,1570,850,61.71974522292993,1.1464968152866242,7.261146496815287,0.12738853503184713,0.06369426751592357,0.0,29.363057324840764,61.0828025477707,0.445859872611465,38.47133757961784,11.445222929936305,0.00019072449656384356,7.753553731901424e-05,0.3987994296577947,0.570501484249571,10.08230452674897,1.440329218106996,0,Mixed Bridge
1,1541,1075,32.446463335496425,1.6223231667748215,27.44970798182998,3.17975340687865,0.0,1.1031797534068788,33.09539260220636,55.80791693705386,1.881894873458793,42.31018818948735,22.91628812459442,0.0003035935696833756,0.0032292513126202893,0.42107756001959823,0.4387901262104835,6.559083810515356,7.912545549193128,1,Exit-Oriented
5,1038,597,55.78034682080924,1.0597302504816954,14.258188824662813,2.119460500963391,1.2524084778420037,1.1560693641618496,23.50674373795761,66.76300578034682,1.7341040462427744,31.502890173410403,10.572254335260116,0.0001301476030215941,0.00035424239808377135,0.4265078138718174,0.5604938587204595,7.323943661971831,7.605633802816901,0,Mixed Bridge
6,1001,564,37.56243756243756,0.5994005994005994,20.87912087912088,3.4965034965034967,0.0999000999000999,4.195804195804196,30.96903096903097,53.74625374625375,2.097902097902098,44.15584415584416,12.876123876123875,0.00012212927023624742,0.0008311180502209885,0.42767699248120306,0.5830218728822424,4.410585404971933,5.854049719326383,2,High-Risk Frontier
10,924,364,42.857142857142854,0.6493506493506493,21.1038961038961,1.5151515151515151,0.21645021645021645,1.406926406926407,31.601731601731604,55.086580086580085,1.2987012987012987,43.61471861471862,13.393939393939394,0.00011215286317251002,0.0005238555938817676,0.4172490272373541,0.44260407020850934,4.0,3.578947368421052,2,High-Risk Frontier
2,776,558,45.36082474226804,1.1597938144329898,18.814432989690722,2.448453608247423,0.0,2.0618556701030926,27.190721649484534,62.75773195876289,1.0309278350515463,36.21134020618557,11.408505154639176,0.00011245070421175816,0.0005596788233594623,0.4253508146639512,0.5864798839106151,3.6637931034482754,7.650862068965517,0,Mixed Bridge
14,728,319,26.923076923076923,2.197802197802198,37.362637362637365,1.3736263736263736,0.27472527472527475,1.2362637362637363,30.357142857142854,42.30769230769231,3.296703296703297,54.395604395604394,21.791208791208792,0.00018769092563018948,0.002209331149390278,0.41905803858520896,0.4892727279127316,8.5,5.5,1,Exit-Oriented
16,673,288,53.64041604754829,2.526002971768202,11.738484398216938,0.2971768202080238,0.8915304606240713,0.2971768202080238,29.71768202080238,52.748885586924224,0.5943536404160475,46.65676077265973,18.919762258543834,0.00014707676076298792,0.0009179154341928941,0.43440979827089343,0.5230369571610626,6.176470588235294,2.3529411764705883,2,High-Risk Frontier
11,517,310,41.3926499032882,0.7736943907156674,20.889748549323016,2.321083172147002,0.3868471953578337,1.5473887814313347,29.78723404255319,53.38491295938105,1.9342359767891684,44.680851063829785,11.321083172147002,0.00012055164040974787,0.0006741083391428891,0.4121723021582734,0.5179459845330161,6.5009560229445515,7.45697896749522,2,High-Risk Frontier
8,443,253,34.988713318284425,2.2573363431151243,14.89841986455982,1.1286681715575622,0.6772009029345373,0.4514672686230248,44.24379232505643,45.82392776523702,0.6772009029345373,53.49887133182845,9.90293453724605,0.00012815909815937275,0.00017181010676054197,0.4317502683363149,0.5756445312499999,5.631067961165048,5.825242718446602,2,High-Risk Frontier
15,392,189,40.05102040816326,0.0,21.683673469387756,7.3979591836734695,0.0,0.5102040816326531,30.102040816326532,68.87755102040816,1.0204081632653061,30.102040816326532,9.316326530612244,7.639533440859007e-05,0.00033528331222050446,0.42139053117782915,0.5496066844819151,7.487922705314009,4.830917874396135,0,Mixed Bridge
18,389,198,51.9280205655527,0.2570694087403599,17.480719794344473,0.5141388174807198,0.5141388174807198,0.7712082262210797,27.76349614395887,63.75321336760925,1.2853470437017995,34.96143958868895,10.182519280205655,8.408204372322132e-05,0.0004767125935986673,0.4242282548476454,0.4920710059171596,5.830903790087463,8.454810495626822,2,High-Risk Frontier
24,358,118,39.94413407821229,1.1173184357541899,22.905027932960895,1.3966480446927374,0.0,1.9553072625698324,31.28491620111732,53.072625698324025,1.675977653631285,45.2513966480447,14.011173184357542,7.357056631705226e-05,0.0009253991663877152,0.42429923371647504,0.5053630107260216,7.003891050583658,10.116731517509727,2,High-Risk Frontier
13,325,143,53.230769230769226,1.5384615384615385,18.76923076923077,1.5384615384615385,1.5384615384615385,0.3076923076923077,22.46153846153846,56.61538461538461,1.2307692307692308,42.15384615384615,14.96,0.00011155229219970037,0.0007394619517013222,0.42874040697674415,0.601424206459433,9.60960960960961,6.906906906906906,0,Mixed Bridge
12,307,165,37.13355048859935,0.9771986970684038,27.68729641693811,0.9771986970684038,0.0,3.908794788273615,27.36156351791531,58.95765472312704,1.3029315960912053,39.73941368078176,8.50814332247557,6.614025699394992e-05,0.0003990839679721182,0.4307115646258503,0.4340600670415225,6.741573033707865,11.985018726591761,2,High-Risk Frontier
21,239,63,39.74895397489539,1.2552301255230125,16.317991631799163,1.6736401673640167,0.0,1.2552301255230125,39.33054393305439,48.53556485355649,1.2552301255230125,50.2092050209205,19.16317991631799,9.067543594296304e-05,0.00170385357037848,0.4160815533980583,0.5227787023622801,10.396039603960396,5.9405940594059405,1,Exit-Oriented
9,232,84,28.01724137931034,2.586206896551724,30.17241379310345,1.7241379310344827,0.0,0.0,32.327586206896555,49.56896551724138,0.43103448275862066,50.0,16.00862068965517,9.114937458438711e-05,0.0009543201595704075,0.41725503875968994,0.5303585392435148,7.5,7.083333333333333,1,Exit-Oriented
23,232,92,36.637931034482754,3.4482758620689653,26.72413793103448,1.7241379310344827,0.0,0.43103448275862066,30.17241379310345,53.879310344827594,2.586206896551724,43.53448275862069,13.775862068965518,9.009340218082307e-05,0.000913908641753095,0.42459950248756223,0.49608740894901127,8.205128205128204,9.230769230769232,2,High-Risk Frontier
17,191,89,42.93193717277487,0.5235602094240838,19.895287958115183,1.0471204188481675,0.0,1.0471204188481675,34.031413612565444,59.16230366492147,2.6178010471204187,38.21989528795812,11.513089005235603,9.541284881791256e-05,0.0004730385320044681,0.412413612565445,0.5780667514582694,6.8181818181818175,6.8181818181818175,0,Mixed Bridge
26,181,81,54.14364640883977,0.5524861878453038,15.469613259668508,0.5524861878453038,0.0,2.209944751381215,25.96685082872928,65.19337016574586,0.0,34.806629834254146,8.546961325966851,0.00011098982047124002,0.00023990503504871548,0.42763518518518523,0.6104939017026928,10.204081632653061,5.1020408163265305,0,Mixed Bridge
0,135,171,56.2962962962963,0.0,5.185185185185185,1.4814814814814816,0.7407407407407408,0.0,23.703703703703706,61.48148148148148,0.7407407407407408,37.77777777777778,6.42962962962963,0.00017111862069754406,0.000368586503917739,0.42801202263083454,0.6892343032811921,4.484304932735426,6.278026905829597,0,Mixed Bridge
27,84,19,50.0,0.0,17.857142857142858,2.380952380952381,0.0,0.0,29.761904761904763,59.523809523809526,0.0,40.476190476190474,17.392857142857142,4.966765771629784e-05,0.000743024968765883,0.3976555555555556,0.45821015855952707,2.272727272727273,11.363636363636363,2,High-Risk Frontier
25,82,28,51.21951219512195,0.0,21.951219512195124,0.0,0.0,0.0,25.609756097560975,64.63414634146342,0.0,35.36585365853659,15.78048780487805,8.05620708427357e-05,0.0007154145799472294,0.41442702702702705,0.6296,5.660377358490567,8.49056603773585,0,Mixed Bridge
29,61,8,32.78688524590164,1.639344262295082,24.59016393442623,1.639344262295082,1.639344262295082,0.0,37.704918032786885,40.98360655737705,0.0,59.01639344262295,18.262295081967213,3.06735532284227e-05,0.0008251780121632604,0.427325,0.6055514974433893,8.333333333333332,16.666666666666664,1,Exit-Oriented
30,49,15,46.93877551020408,0.0,28.57142857142857,6.122448979591836,0.0,2.0408163265306123,14.285714285714285,65.3061224489796,0.0,34.69387755102041,9.83673469387755,3.262610196047568e-05,0.00021834999449154622,0.4007652173913044,0.4792243767313019,4.3478260869565215,0.0,2,High-Risk Frontier
35,27,3,66.66666666666666,0.0,7.4074074074074066,0.0,0.0,0.0,25.925925925925924,77.77777777777779,0.0,22.22222222222222,19.62962962962963,0.00012230602054119155,1.1984356377602979e-06,0.45076,0.59375,0.0,0.0,4,Deep Green
20,26,3,73.07692307692307,0.0,7.6923076923076925,0.0,0.0,0.0,19.230769230769234,76.92307692307693,0.0,23.076923076923077,10.461538461538462,2.401257681506192e-05,3.6796408871733154e-05,0.45262727272727266,0.5473372781065089,2.380952380952381,16.666666666666664,3,Government-Led
